episode,goal,reward,steps,final_error,success
1,-0.8,11.05953509224346,22,0.007877175706860085,1.0
2,-0.8,11.05953509224346,22,0.007877175706860085,1.0
3,-0.8,11.05953509224346,22,0.007877175706860085,1.0
4,-0.8,11.05953509224346,22,0.007877175706860085,1.0
5,-0.8,11.05953509224346,22,0.007877175706860085,1.0
6,-0.4,15.569779144972562,17,0.005270314861125613,1.0
7,-0.4,15.569779144972562,17,0.005270314861125613,1.0
8,-0.4,15.569779144972562,17,0.005270314861125613,1.0
9,-0.4,15.569779144972562,17,0.005270314861125613,1.0
10,-0.4,15.569779144972562,17,0.005270314861125613,1.0
11,0.4,15.641316473763435,17,0.002063191807425979,1.0
12,0.4,15.641316473763435,17,0.002063191807425979,1.0
13,0.4,15.641316473763435,17,0.002063191807425979,1.0
14,0.4,15.641316473763435,17,0.002063191807425979,1.0
15,0.4,15.641316473763435,17,0.002063191807425979,1.0
16,0.8,11.023324539254826,23,0.0003898019197414726,1.0
17,0.8,11.023324539254826,23,0.0003898019197414726,1.0
18,0.8,11.023324539254826,23,0.0003898019197414726,1.0
19,0.8,11.023324539254826,23,0.0003898019197414726,1.0
20,0.8,11.023324539254826,23,0.0003898019197414726,1.0
