episode,reward,success,length,final_error,epsilon,avg_loss,wall_clock_time
1,-167.3147630095482,0.0,150,1.4423299671924124,0.995,0.0,0.21486401557922363
2,-47.518175057508046,0.0,150,0.08925665736692412,0.990025,0.0,1.1023609638214111
3,-71.7227274775505,0.0,150,0.2908397656733094,0.985074875,0.0,1.3347771167755127
4,-201.69262635707855,0.0,150,2.0058993278153006,0.9801495006250001,0.11252855660744232,5.297411918640137
5,-142.75678238272667,0.0,150,1.3490745995219031,0.9752487531218751,0.018289973363280296,6.565172910690308
6,-9.975302045978605,0.0,150,0.1001443602764315,0.9703725093562657,0.03721081768472989,7.7975358963012695
7,-74.96095881906804,0.0,150,0.6702167221588222,0.9655206468094844,0.03739038666710257,9.035345077514648
8,-136.58557468652725,0.0,150,1.1854665539492462,0.960693043575437,0.02288958217948675,10.153594017028809
9,-308.83943378925323,0.0,150,1.9451776588480985,0.9558895783575597,0.034221774069592356,11.2276132106781
10,-135.40621864795685,0.0,150,0.9364912817546981,0.9511101304657719,0.020720138320078452,12.315837860107422
11,-188.4661066532135,0.0,150,0.5143020325277794,0.946354579813443,0.036620422198126716,13.366461992263794
12,-40.6480290396139,0.0,150,0.5222675960533183,0.9416228069143757,0.03618592633555333,14.45895791053772
13,-230.23921513557434,0.0,150,1.9138112187230245,0.9369146928798039,0.022365622259676456,15.477994918823242
14,-165.0555421113968,0.0,150,1.5894851580672857,0.9322301194154049,0.03409978242591023,16.524309873580933
15,-107.94997930526733,0.0,150,0.5931486509617496,0.9275689688183278,0.020781795885413887,17.541736841201782
16,16.74742454243824,1.0,16,0.008978565448867881,0.9229311239742362,0.07568560109939426,17.657299995422363
17,5.786593346321022,1.0,40,0.011966844361885332,0.918316468354365,0.031558760744519535,17.935743808746338
18,-38.03052813205866,0.0,150,0.1388624689569755,0.9137248860125932,0.03160192161798477,18.950056076049805
19,17.77369121219963,1.0,8,0.0034158541573681496,0.9091562615825302,0.04376861243508756,19.005451917648315
20,-2.3411254633218084,0.0,150,0.31935546158456074,0.9046104802746175,0.04086207144583265,20.014023065567017
21,-36.431888341717396,0.0,150,0.36197345411960147,0.9000874278732445,0.03655468269561728,21.065064191818237
22,-128.3403594493866,0.0,150,0.9095797666401053,0.8955869907338783,0.035722194189826646,22.07399296760559
23,-28.763182115927332,0.0,150,0.3011415796566743,0.8911090557802088,0.03769161655257146,23.12669801712036
24,-79.84020386431365,0.0,150,0.3972457409337926,0.8866535105013078,0.03380843780313929,24.185277223587036
25,-55.832495344389464,0.0,150,0.7755267821237418,0.8822202429488013,0.03826835189635555,25.207490921020508
26,4.71167686313856,1.0,90,0.01780294254746828,0.8778091417340573,0.032150593565569985,25.847434997558594
27,-28.31537294561276,0.0,150,0.37865331175984784,0.8734200960253871,0.03918833686659733,26.8539559841156
28,17.804185991548003,1.0,8,0.011849495452635948,0.8690529955452602,0.03186755417846143,26.912400007247925
29,-5.034742607455699,0.0,150,0.23340304220625802,0.8647077305675338,0.03456241226444642,28.00139093399048
30,-75.62981870509684,0.0,150,0.16136488924333325,0.8603841919146962,0.03363724140450358,29.119977951049805
31,11.355613567773252,1.0,79,0.01330657698066956,0.8560822709551227,0.028523003128416175,29.65360188484192
32,-11.55474322738592,1.0,55,0.01164504262337962,0.851801859600347,0.04228272509168495,30.02410316467285
33,11.379419374535791,1.0,29,0.016426698678591978,0.8475428503023453,0.031798439357301284,30.235151052474976
34,-47.845563407172435,1.0,104,0.010336466410024725,0.8433051360508336,0.04026831491277195,30.96625804901123
35,-107.84512980096042,0.0,150,0.16594289202380763,0.8390886103705794,0.03816628803809484,32.107401847839355
36,-24.386874716170134,0.0,150,0.13395403861218966,0.8348931673187264,0.03630722830072045,33.156944036483765
37,-50.55934505374168,1.0,141,0.029948774643507425,0.8307187014821328,0.03809713448087374,34.20022392272949
38,-20.111364743590816,1.0,95,0.01781414473484777,0.8265651079747222,0.0319502653358014,34.85853886604309
39,-1.2502126000355993,1.0,133,0.01904709389007614,0.8224322824348486,0.04080800632280963,35.916138887405396
40,-77.8988263279665,0.0,150,0.20415673237487098,0.8183201210226743,0.035326578946163256,37.20109677314758
41,-23.89276560992003,0.0,150,0.1749531793174446,0.8142285204175609,0.03873984760294358,38.320003032684326
42,-8.969692376162858,1.0,52,0.031047417894443097,0.810157377815473,0.03372640452849177,38.71497416496277
43,-51.31592991510405,1.0,130,0.00918492238751023,0.8061065909263957,0.03839762157832201,39.60744500160217
44,3.0278676988556947,1.0,45,0.03076222334190326,0.8020760579717637,0.0414772099090947,39.95049595832825
45,1.8975192128680618,1.0,48,0.03062922132300916,0.798065677681905,0.039439096270749964,40.29828500747681
46,11.132046102080494,1.0,84,0.022268882765471842,0.7940753492934954,0.03970997106461298,40.862963914871216
47,9.420684245601294,1.0,86,0.03024218194149869,0.7901049725470279,0.04067687344802327,41.47723698616028
48,17.630015167640522,1.0,8,0.02862210964070285,0.7861544476842928,0.04772435035556555,41.536526918411255
49,16.279270302946678,1.0,21,0.007988735739968222,0.7822236754458713,0.0389495873380275,41.70261907577515
50,9.39372824744787,1.0,56,0.03127240912114271,0.778312557068642,0.03828883254235344,42.11146402359009
51,-48.00350445494985,1.0,146,0.0030554135017848427,0.7744209942832988,0.04528092166842663,43.18767499923706
52,11.714871697267517,1.0,35,0.014139452604421843,0.7705488893118823,0.0409703574010304,43.453192949295044
53,12.617805787920952,1.0,30,0.014017385732277343,0.7666961448653229,0.03685186548779408,43.68198585510254
54,-41.177344213266025,1.0,123,0.007291100981763554,0.7628626641409962,0.044321313091531034,44.5992648601532
55,9.257209347235039,1.0,31,0.021261270863778492,0.7590483508202912,0.051404965680933765,44.83672308921814
56,-43.71655915360897,1.0,82,0.0016229986042062272,0.7552531090661897,0.043339956733511716,45.50954794883728
57,14.148939967667683,1.0,24,0.02909290034829104,0.7514768435208588,0.040997594905396305,45.7210328578949
58,-22.2138309684582,1.0,76,0.0049717567270988194,0.7477194593032545,0.04243940985026328,46.48568797111511
59,-11.319781244918708,1.0,48,0.017661555570314125,0.7439808620067382,0.045480443785587944,46.84680700302124
60,-9.424260298628372,0.0,150,0.03736614094838864,0.7402609576967045,0.04252697783211867,47.869861125946045
61,12.805837023444473,1.0,56,0.02071175764182781,0.736559652908221,0.04414616754677679,48.26981019973755
62,-43.70120945488597,1.0,84,0.018168995943418587,0.7328768546436799,0.05196480160312993,48.83049201965332
63,24.814413214073284,1.0,59,0.014139626327093202,0.7292124703704616,0.043549333493840894,49.23665714263916
64,-68.0328496970469,1.0,116,0.0029550153241930666,0.7255664080186093,0.04634052445983578,50.06955099105835
65,2.383358407928604,1.0,73,0.025733415842787877,0.7219385759785162,0.04677993625606576,50.55366015434265
66,-62.74606608636677,0.0,150,0.040974568196391115,0.7183288830986236,0.04276547501484553,51.621256828308105
67,17.512841571541504,1.0,31,0.030195825086672345,0.7147372386831305,0.0442012115832298,51.83286690711975
68,-33.506059780251206,1.0,108,0.01088814218431855,0.7111635524897149,0.0438087171598993,52.586374044418335
69,12.767197480471804,1.0,24,0.01259101342259128,0.7076077347272662,0.045102759109189115,52.76266407966614
70,10.65442007908714,1.0,63,0.02741732013358933,0.7040696960536299,0.044971973443078614,53.20807385444641
71,21.541015708865597,1.0,75,0.017383073529546045,0.7005493475733617,0.040099697584907217,53.74274921417236
72,15.348133203561877,1.0,101,0.034479858820110953,0.697046600835495,0.04346864012134547,54.478699922561646
73,4.314978537778367,1.0,50,0.002308006305835053,0.6935613678313175,0.04397487543523312,54.832223892211914
74,17.354220359609464,1.0,27,0.02072218270767634,0.6900935609921609,0.03949678371901865,55.00909900665283
75,3.974058053456237,1.0,103,0.021383038244481067,0.6866430931872001,0.04608981989468764,55.73281288146973
76,-8.812512583239009,1.0,56,0.005828237614491583,0.6832098777212641,0.04371832055039704,56.14967584609985
77,-51.52943841572848,1.0,108,0.010598504880037662,0.6797938283326578,0.043390356521639556,56.90820288658142
78,-2.554004596336746,1.0,53,0.03040295338726806,0.6763948591909945,0.04360580894182313,57.28251600265503
