simulation_time,target_angle_rad,joint_angle_rad,joint_velocity_rad_s,angle_error_rad,commanded_torque_nm
4.692000,-0.800000,-0.799577,-0.000319,-0.000423,-1.415611
4.702000,-0.800000,-0.799581,-0.000316,-0.000419,-1.415550
4.712000,-0.800000,-0.799584,-0.000314,-0.000416,-1.415490
4.722000,-0.800000,-0.799587,-0.000312,-0.000413,-1.415430
4.732000,-0.800000,-0.799590,-0.000309,-0.000410,-1.415371
4.742000,-0.800000,-0.799593,-0.000307,-0.000407,-1.415312
4.752000,-0.800000,-0.799596,-0.000305,-0.000404,-1.415253
4.762000,-0.800000,-0.799599,-0.000302,-0.000401,-1.415195
4.772000,-0.800000,-0.799602,-0.000300,-0.000398,-1.415138
4.782000,-0.800000,-0.799605,-0.000298,-0.000395,-1.415081
4.792000,-0.800000,-0.799608,-0.000296,-0.000392,-1.415024
4.802000,-0.800000,-0.799611,-0.000293,-0.000389,-1.414968
4.812000,-0.800000,-0.799614,-0.000291,-0.000386,-1.414912
4.822000,-0.800000,-0.799617,-0.000289,-0.000383,-1.414857
4.832000,-0.800000,-0.799620,-0.000287,-0.000380,-1.414802
4.842000,-0.800000,-0.799623,-0.000285,-0.000377,-1.414747
4.852000,-0.800000,-0.799625,-0.000283,-0.000375,-1.414693
4.862000,-0.800000,-0.799628,-0.000280,-0.000372,-1.414639
4.872000,-0.800000,-0.799631,-0.000278,-0.000369,-1.414586
4.882000,-0.800000,-0.799634,-0.000276,-0.000366,-1.414533
4.892000,-0.800000,-0.799636,-0.000274,-0.000364,-1.414481
4.902000,-0.800000,-0.799639,-0.000272,-0.000361,-1.414429
4.912000,-0.800000,-0.799642,-0.000270,-0.000358,-1.414377
4.922000,-0.800000,-0.799645,-0.000268,-0.000355,-1.414326
4.932000,-0.800000,-0.799647,-0.000266,-0.000353,-1.414275
4.942000,-0.800000,-0.799650,-0.000264,-0.000350,-1.414225
4.952000,-0.800000,-0.799653,-0.000262,-0.000347,-1.414175
4.962000,-0.800000,-0.799655,-0.000260,-0.000345,-1.414125
4.972000,-0.800000,-0.799658,-0.000258,-0.000342,-1.414076
4.982000,-0.800000,-0.799660,-0.000256,-0.000340,-1.414027
4.992000,-0.800000,-0.799663,-0.000254,-0.000337,-1.413979
5.002000,-0.800000,-0.799665,-0.000252,-0.000335,-1.413931
