episode,goal,reward,steps,final_error,success
1,-0.8,10.521527701057494,27,0.012328092101017596,1.0
2,-0.8,10.521527701057494,27,0.012328092101017596,1.0
3,-0.8,10.521527701057494,27,0.012328092101017596,1.0
4,-0.8,10.521527701057494,27,0.012328092101017596,1.0
5,-0.8,10.521527701057494,27,0.012328092101017596,1.0
6,-0.4,15.21405668091029,21,0.013217009087764853,1.0
7,-0.4,15.21405668091029,21,0.013217009087764853,1.0
8,-0.4,15.21405668091029,21,0.013217009087764853,1.0
9,-0.4,15.21405668091029,21,0.013217009087764853,1.0
10,-0.4,15.21405668091029,21,0.013217009087764853,1.0
11,0.4,15.211074960418046,21,0.012719840750495037,1.0
12,0.4,15.211074960418046,21,0.012719840750495037,1.0
13,0.4,15.211074960418046,21,0.012719840750495037,1.0
14,0.4,15.211074960418046,21,0.012719840750495037,1.0
15,0.4,15.211074960418046,21,0.012719840750495037,1.0
16,0.8,10.519856926985085,27,0.0105712357298271,1.0
17,0.8,10.519856926985085,27,0.0105712357298271,1.0
18,0.8,10.519856926985085,27,0.0105712357298271,1.0
19,0.8,10.519856926985085,27,0.0105712357298271,1.0
20,0.8,10.519856926985085,27,0.0105712357298271,1.0
